1.99025    -3.76512487425
1.9805    -3.76573849492
1.97075    -3.76602276265
1.961    -3.76629928146
1.95125    -3.76661288638
1.9415    -3.76680875949
1.93175    -3.76715852257
1.922    -3.76734793671
1.91225    -3.76766584119
1.9025    -3.76797529544
1.89275    -3.76797982943
1.883    -3.7685213826
1.87325    -3.76881700942
1.8635    -3.76907355506
1.85375    -3.76930781207
1.844    -3.76946150382
1.83425    -3.76973309693
1.8245    -3.7701378541
1.81475    -3.77045206192
1.805    -3.77066497348
1.79525    -3.77096840751
1.7855    -3.77122388454
1.77575    -3.77176071034
1.766    -3.7719337341
1.75625    -3.77229026544
1.7465    -3.7725658549
1.73675    -3.77278606837
1.727    -3.77314983043
1.71725    -3.77351173503
1.7075    -3.77377638204
1.69775    -3.77417038789
1.688    -3.77454571199
1.67825    -3.77494550362
1.6685    -3.77503950608
1.65875    -3.77555537974
1.649    -3.77576879486
1.63925    -3.7760861371
1.6295    -3.77639438561
1.61975    -3.77666256958
1.61    -3.77702119365
1.60025    -3.7774469218
1.5905    -3.77781443356
1.58075    -3.77811313028
1.571    -3.77858926957
1.56125    -3.77883907027
1.5515    -3.77932911155
1.54175    -3.77947485153
1.532    -3.78007006059
1.52225    -3.78037874288
1.5125    -3.78076645676
1.50275    -3.78120585189
1.493    -3.78155724198
1.48325    -3.78194332752
1.4735    -3.78233419901
1.46375    -3.78272932615
1.454    -3.78307865577
1.44425    -3.78359847862
1.4345    -3.78400854025
1.42475    -3.7843444196
1.415    -3.78476052353
1.40525    -3.78520145438
1.3955    -3.78571688899
1.38575    -3.78609083319
1.376    -3.78653823292
1.36625    -3.7869480913
1.3565    -3.78731903794
1.34675    -3.78795985706
1.337    -3.78827466539
1.32725    -3.78882112533
1.3175    -3.78921015147
1.30775    -3.78977631465
1.298    -3.79020701122
1.28825    -3.79063290775
1.2785    -3.79117164177
1.26875    -3.7916692421
1.259    -3.79221123272
1.24925    -3.79288546672
1.2395    -3.79321660613
1.22975    -3.79377878917
1.22    -3.79437946209
1.21025    -3.79490164916
1.2005    -3.79543005262
1.19075    -3.79610689532
1.181    -3.7965592613
1.17125    -3.79715129792
1.1615    -3.79783156582
1.15175    -3.79826485615
1.142    -3.79905685213
1.13225    -3.79953056941
1.1225    -3.8003226737
1.11275    -3.80079581142
1.103    -3.80144158414
1.09325    -3.80218009051
1.0835    -3.80292343469
1.07375    -3.80348579085
1.064    -3.80410201365
1.05425    -3.80481252628
1.0445    -3.80564970947
1.03475    -3.80628897171
1.025    -3.80696172564
1.01525    -3.80778437317
1.0055    -3.80848635975
0.99575    -3.80924550587
0.986    -3.8099864633
0.97625    -3.81087675583
0.9665    -3.8117125255
0.95675    -3.81253485239
0.947    -3.81341010761
0.93725    -3.81422753343
0.9275    -3.81502862856
0.91775    -3.81588170246
0.908    -3.8169213896
0.89825    -3.81781947538
0.8885    -3.81876603209
0.87875    -3.81977333219
0.869    -3.820652072
0.85925    -3.82183104552
0.8495    -3.82273019106
0.83975    -3.82377254224
0.83    -3.82484306938
0.82025    -3.82591241501
0.8105    -3.8269728437
0.80075    -3.82801979084
0.791    -3.82936393633
0.78125    -3.83047712379
0.7715    -3.83164259008
0.76175    -3.83283662533
0.752    -3.83417192082
0.74225    -3.83547765802
0.7325    -3.83666687855
0.72275    -3.83807813624
0.713    -3.83945070222
0.70325    -3.84075347395
0.6935    -3.84223811013
0.68375    -3.84374471927
0.674    -3.84519364397
0.66425    -3.84661817964
0.6545    -3.84819385254
0.64475    -3.84980597957
0.635    -3.85143844856
0.62525    -3.85306694331
0.6155    -3.85470395753
0.60575    -3.85647039422
0.596    -3.85830704846
0.58625    -3.86005522713
0.5765    -3.86181430252
0.56675    -3.86365781565
0.557    -3.86543190043
0.54725    -3.86736682208
0.5375    -3.86927728318
0.52775    -3.87116573272
0.518    -3.87302718316
0.50825    -3.87489563829
0.4985    -3.87684622178
0.48875    -3.87876360296
0.479    -3.8806590529
0.46925    -3.88245807859
0.4595    -3.88426678728
0.44975    -3.88598044559
0.44    -3.88762994752
0.43025    -3.88917280323
0.4205    -3.89059999478
0.41075    -3.89196095862
0.401    -3.89326324613
0.39125    -3.89441005107
0.3815    -3.89546638103
0.37175    -3.89641087306
0.362    -3.8972422098
0.35225    -3.8980049336
0.3425    -3.89865731461
0.33275    -3.89923902751
0.323    -3.89975051655
0.31325    -3.90017731037
0.3035    -3.90056991231
0.29375    -3.90089820926
0.284    -3.9011834954
0.27425    -3.90143815599
0.2645    -3.90164400538
0.25475    -3.90183240762
0.245    -3.90199829811
0.23525    -3.90212198135
0.2255    -3.90224274602
0.21575    -3.90234881362
0.206    -3.90243945921
0.19625    -3.90251764568
0.1865    -3.90259838381
0.17675    -3.90265385783
0.167    -3.90271046035
0.15725    -3.90277799024
0.1475    -3.90282723453
0.13775    -3.90287793903
0.128    -3.90292446535
0.11825    -3.90297278465
0.1085    -3.90301827691
0.09875    -3.90306630054
0.089    -3.9031157517
0.07925    -3.90315973257
0.0695    -3.90321022521
0.05975    -3.90325532213
0.05    -3.90330558822
